,challenge,steps,kappa
0,coordinate_structure_constraint_object_extraction,5000,0.9461133344350161
1,coordinate_structure_constraint_object_extraction,110000,0.7879890093502445
2,coordinate_structure_constraint_object_extraction,60000,0.7962152288646491
3,coordinate_structure_constraint_object_extraction,75000,0.7963586729190055
4,coordinate_structure_constraint_object_extraction,120000,0.8053069012213746
5,coordinate_structure_constraint_object_extraction,85000,0.780218376043803
6,coordinate_structure_constraint_object_extraction,130000,0.7439998361598952
7,coordinate_structure_constraint_object_extraction,125000,0.7679091958222305
8,coordinate_structure_constraint_object_extraction,90000,0.823015972687243
9,coordinate_structure_constraint_object_extraction,165000,0.7528450665786655
10,coordinate_structure_constraint_object_extraction,50000,0.8189178233478899
11,coordinate_structure_constraint_object_extraction,140000,0.7684912940626811
12,coordinate_structure_constraint_object_extraction,115000,0.778600096424166
13,coordinate_structure_constraint_object_extraction,170000,0.7672157227637012
14,coordinate_structure_constraint_object_extraction,25000,0.8196732925022148
15,coordinate_structure_constraint_object_extraction,30000,0.8165665482855705
16,coordinate_structure_constraint_object_extraction,135000,0.781990827465926
17,coordinate_structure_constraint_object_extraction,100000,0.8059398879396882
18,coordinate_structure_constraint_object_extraction,15000,0.7891564664881635
19,coordinate_structure_constraint_object_extraction,40000,0.7853363975258556
20,coordinate_structure_constraint_object_extraction,35000,0.7480039392024224
21,coordinate_structure_constraint_object_extraction,65000,0.8052512031123958
22,coordinate_structure_constraint_object_extraction,80000,0.7949755681315055
23,coordinate_structure_constraint_object_extraction,105000,0.8119898300548641
24,coordinate_structure_constraint_object_extraction,155000,0.7880874895935821
25,coordinate_structure_constraint_object_extraction,55000,0.7946171450769762
26,coordinate_structure_constraint_object_extraction,10000,0.8415050882604935
27,coordinate_structure_constraint_object_extraction,70000,0.7659770904244246
28,coordinate_structure_constraint_object_extraction,45000,0.8068318954570214
29,coordinate_structure_constraint_object_extraction,95000,0.7821810737541488
30,coordinate_structure_constraint_object_extraction,20000,0.8122346584976029
31,coordinate_structure_constraint_object_extraction,160000,0.7854132511609143
32,coordinate_structure_constraint_object_extraction,150000,0.77638870656793
33,coordinate_structure_constraint_object_extraction,145000,0.7483480678591983
34,coordinate_structure_constraint_object_extraction,190000,0.7482666666666666
35,coordinate_structure_constraint_object_extraction,180000,0.7333262409461243
36,coordinate_structure_constraint_object_extraction,200000,0.7524420450093298
37,coordinate_structure_constraint_object_extraction,210000,0.7573783272529645
38,expletive_it_object_raising,5000,0.9705576658491356
39,expletive_it_object_raising,110000,0.929574566357679
40,expletive_it_object_raising,60000,0.9257338402270445
41,expletive_it_object_raising,75000,0.9234318747962589
42,expletive_it_object_raising,120000,0.9336914486281868
43,expletive_it_object_raising,85000,0.9227944088319392
44,expletive_it_object_raising,130000,0.9388786764705881
